label, id, name, ontology
"Chemical", "CHEMBL1201650", "thyroglobulin", "UNKNOWN"
"Chemical", "CHEMBL1644695", "sodium iodide", "UNKNOWN"
"Chemical", "CHEMBL280998", "catechol", "UNKNOWN"
"Chemical", "CHEMBL1324", "tolcapone", "UNKNOWN"
"Chemical", "CHEMBL2108821", "trypsin", "UNKNOWN"
"Chemical", "CHEMBL4297910", "artemin", "UNKNOWN"
"Chemical", "CHEMBL1201648", "amylase", "UNKNOWN"
"Chemical", "CHEMBL25", "aspirin", "UNKNOWN"
"Chemical", "CHEMBL11298", "serine", "UNKNOWN"
"Chemical", "CHEMBL274323", "aspartic acid", "UNKNOWN"
"Chemical", "CHEMBL1077896", "ropivacaine", "UNKNOWN"
"Chemical", "CHEMBL5314368", "soda lime", "UNKNOWN"
"Chemical", "CHEMBL1098", "bupivacaine", "UNKNOWN"
"Chemical", "CHEMBL1085843", "SYBR Green I", "UNKNOWN"
"Chemical", "CHEMBL504", "dimethyl sulfoxide", "UNKNOWN"
"Chemical", "CHEMBL2108574", "antithrombin III", "UNKNOWN"
"Chemical", "CHEMBL70", "morphine", "UNKNOWN"
"Chemical", "CHEMBL134", "clonidine", "UNKNOWN"
"Chemical", "CHEMBL833", "ticlopidine", "UNKNOWN"
"Chemical", "CHEMBL1200539", "calcium carbonate", "UNKNOWN"
"Chemical", "CHEMBL55643", "copper", "UNKNOWN"
"Chemical", "CHEMBL291747", "threonine", "UNKNOWN"
"Chemical", "CHEMBL2108773", "plasma protein", "UNKNOWN"
"Chemical", "CHEMBL4297067", "fluorescein", "UNKNOWN"
"Chemical", "CHEMBL1697742", "dextran", "UNKNOWN"
"Chemical", "CHEMBL1121", "cholecystokinin", "UNKNOWN"
"Chemical", "CHEMBL525028", "vasoactive intestinal polypeptide", "UNKNOWN"
"Chemical", "CHEMBL501079", "galanin", "UNKNOWN"
"Chemical", "CHEMBL2391146", "angiotensin", "UNKNOWN"
"Chemical", "CHEMBL413654", "gastrin", "UNKNOWN"
"Chemical", "CHEMBL4540843", "pancreatic polypeptide", "UNKNOWN"
"Chemical", "CHEMBL1201610", "adrenocorticotropic hormone", "UNKNOWN"
"Chemical", "CHEMBL95606", "cytidine", "UNKNOWN"
"Chemical", "CHEMBL45", "Melatonin", "UNKNOWN"
"Chemical", "CHEMBL1201586", "Palivizumab", "UNKNOWN"
"Chemical", "CHEMBL48880", "asulacrine", "UNKNOWN"
"Chemical", "CHEMBL348107", "acrylamide", "UNKNOWN"
"Chemical", "CHEMBL47", "alpha-tocopherol", "UNKNOWN"
"Chemical", "CHEMBL2110563", "vitamin B12", "UNKNOWN"
"Chemical", "CHEMBL446036", "malondialdehyde", "UNKNOWN"
"Chemical", "CHEMBL370805", "cocaine", "UNKNOWN"
"Chemical", "CHEMBL152452", "sialic acid", "UNKNOWN"
"Chemical", "CHEMBL1650", "cortisone acetate", "UNKNOWN"
"Chemical", "CHEMBL124518", "phorbol", "UNKNOWN"
"Chemical", "CHEMBL444633", "rifabutin", "UNKNOWN"
"Chemical", "CHEMBL44884", "ethambutol", "UNKNOWN"
"Chemical", "CHEMBL1741", "clarithromycin", "UNKNOWN"
"Chemical", "CHEMBL4298081", "hepatocyte growth factor", "UNKNOWN"
"Chemical", "CHEMBL2107011", "integrin", "UNKNOWN"
"Chemical", "CHEMBL1737", "Viagra", "UNKNOWN"
"Chemical", "CHEMBL1201572", "Enbrel", "UNKNOWN"
"Chemical", "CHEMBL118", "Celebrex", "UNKNOWN"
"Chemical", "CHEMBL1698", "Zyban", "UNKNOWN"
"Chemical", "CHEMBL1232993", "gadolinium", "UNKNOWN"
"Chemical", "CHEMBL1201565", "erythropoietin", "UNKNOWN"
"Chemical", "CHEMBL1648", "Isradipine", "UNKNOWN"
